Annual Rainfall,Cloud Visibility,Seasonal Rainfall,Temperature,Humidity,Pressure,River Level,Wind Speed,Monsoon Intensity,Average Rainfall,Flood Label
3412.6,55.9,1119.1,26.2,57.6,994.9,9.83,50.0,4.5,853.0,1
4106.1,65.3,1466.2,43.5,63.1,993.3,12.54,74.7,6.7,861.1,1
4612.2,51.2,1833.3,37.0,89.8,987.0,14.57,56.3,9.5,671.5,1
2589.4,54.7,732.8,33.0,53.8,1004.3,5.21,8.3,2.5,929.0,0
2128.3,54.4,455.3,19.7,90.9,999.1,3.88,18.6,2.1,831.7,0
1277.0,79.8,334.7,19.7,36.2,1014.6,3.25,21.9,1.3,299.5,0
2625.9,32.7,814.3,16.7,84.4,981.3,8.78,25.8,4.3,818.8,1
3724.9,46.1,1018.6,41.0,89.3,1005.8,8.64,56.5,4.0,957.9,1
3178.8,71.4,1042.6,33.0,42.7,1010.5,9.64,50.4,4.9,223.8,1
4000.3,61.1,1259.8,36.2,60.1,1010.4,11.78,20.3,5.5,980.8,1
3889.4,72.7,1623.5,15.6,41.6,1015.4,14.73,6.8,7.8,122.5,1
2603.1,38.3,870.5,44.1,79.5,1009.2,8.03,17.1,4.5,570.0,1
3418.9,63.3,901.1,40.0,67.5,1017.1,7.43,98.4,4.0,796.5,1
4961.5,47.6,1564.3,21.4,74.5,993.3,14.16,46.9,8.4,811.4,1
4308.2,60.6,1548.1,20.5,43.8,1000.1,13.2,86.7,8.6,761.2,1
2288.0,79.7,684.0,20.5,44.8,980.6,7.79,84.9,3.1,576.4,0
3393.4,71.6,1052.5,24.1,32.9,980.3,9.54,51.2,3.8,685.9,1
4412.0,56.4,1571.7,30.7,52.5,989.6,13.97,70.7,8.4,729.9,1
2013.4,66.6,559.2,28.0,69.2,984.0,5.45,19.3,1.7,545.1,0
2816.4,26.0,769.5,23.7,90.1,990.4,7.33,68.8,3.9,636.1,1
3956.3,25.5,1156.6,33.4,76.7,987.1,9.66,27.2,5.0,861.7,1
1749.4,67.8,551.8,19.2,60.5,981.1,5.78,83.2,2.7,381.6,0
3355.7,29.6,761.1,23.8,96.7,1016.4,6.42,8.4,2.6,570.9,0
2339.5,43.5,1095.9,26.0,80.3,980.3,11.05,77.3,4.8,107.6,1
